algorithm,tasks,iteration,thread,tasks,time
FIFO,50,3,2,0,9895.609143
PRIO,50,3,1,50,10498.207972
FIFO,50,3,1,50,10508.297132
FIFO,50,3,1,50,9757.597316
FIFO,50,1,1,50,10732.042362999999
PRIO,50,1,1,50,10609.912674
PRIO,50,3,2,0,10696.171855999999
PRIO,50,3,1,50,10621.452915
PRIO,50,1,1,50,10725.85649
LIFO,50,2,1,50,10507.265398
FIFO,50,1,3,0,10929.344964
LIFO,50,2,3,0,9574.212967
PRIO,50,1,4,0,9553.036137
PRIO,50,1,1,50,9771.407141
LIFO,50,2,1,50,10503.033476999999
PRIO,50,3,3,0,8965.224366999999
PRIO,50,3,2,0,8965.246404
LIFO,50,3,2,0,8958.754582
LIFO,50,3,4,0,8958.000667999999
Priority of vertices calculated in 1.72349 milliseconds.
FIFO,50,1,2,0,10965.570942999999
Priority of vertices calculated in 1.3732449999999998 milliseconds.
Priority of vertices calculated in 2.7458199999999997 milliseconds.
PRIO,50,3,1,50,10920.325223
PRIO,50,1,1,50,10660.346676
FIFO,50,3,1,50,10599.565681
FIFO,50,3,3,0,10847.436499
PRIO,50,1,2,0,11221.890921999999
FIFO,50,3,2,0,10543.390742
FIFO,50,3,4,0,10855.652881
FIFO,50,3,2,0,10856.845747
LIFO,50,2,2,0,11172.122217999999
PRIO,50,3,3,0,11084.179119999999
PRIO,50,1,2,0,10785.808058999999
PRIO,50,3,2,0,11174.452454
PRIO,50,1,1,50,10515.908237
PRIO,50,2,1,50,10508.205017
FIFO,50,3,1,50,11141.238791
Priority of vertices calculated in 1.286471 milliseconds.
Priority of vertices calculated in 1.8112659999999998 milliseconds.
Priority of vertices calculated in 1.341022 milliseconds.
FIFO,50,1,1,50,10552.248653999999
PRIO,50,2,1,50,11261.314981
PRIO,50,2,3,0,10777.405459
PRIO,50,2,2,0,10780.092588
FIFO,50,1,3,0,10796.522309
PRIO,50,2,2,0,11373.507899
PRIO,50,1,2,0,10799.866032
PRIO,50,1,3,0,10799.719936
FIFO,50,1,2,0,10799.301628
FIFO,50,2,1,50,11242.207675
FIFO,50,2,3,0,11289.862979
FIFO,50,2,2,0,11292.14655
LIFO,50,3,1,50,11628.281017
LIFO,50,1,1,50,11627.328625
LIFO,50,3,2,0,11697.054243999999
LIFO,50,1,2,0,11690.955725
LIFO,50,1,3,0,11698.278441999999
FIFO,50,2,1,50,11761.57858
LIFO,50,1,1,50,11743.215999
LIFO,50,1,3,0,11894.656971
LIFO,50,1,4,0,11895.669328
FIFO,50,2,2,0,11984.309641
LIFO,50,1,2,0,11959.070523
FIFO,50,2,3,0,11991.64597
PRIO,100,1,1,100,15327.353288999999
LIFO,100,3,1,100,15340.810994
PRIO,100,3,1,100,15357.183519999999
FIFO,100,2,1,100,15362.864752
LIFO,100,3,2,0,15446.518542
PRIO,100,3,2,0,15452.641663999999
FIFO,100,2,2,0,15463.695733999999
LIFO,100,1,1,100,16354.980119
LIFO,100,1,1,100,15608.21357
PRIO,100,1,3,0,15594.379804999999
PRIO,100,1,2,0,15625.407919
LIFO,100,1,1,100,15333.580692
PRIO,100,1,1,100,15343.743268999999
FIFO,100,2,1,100,15332.349999999999
LIFO,100,2,1,100,15331.040417
FIFO,100,1,1,100,16829.343328
FIFO,100,1,1,100,15362.200148999998
FIFO,100,2,1,100,16832.691340999998
LIFO,100,2,1,100,16834.350322
PRIO,100,2,1,100,15372.420019
PRIO,100,2,1,100,16851.494404999998
LIFO,100,1,3,0,15452.483855999999
PRIO,100,1,3,0,15458.979813
PRIO,100,1,4,0,15461.549909
PRIO,100,2,2,0,15461.541685999999
PRIO,100,2,3,0,15493.343209999999
PRIO,100,2,1,100,16137.114179
LIFO,100,2,1,100,16131.126096
LIFO,100,1,4,0,15632.420977
LIFO,100,2,3,0,15621.530033
PRIO,100,2,4,0,15636.633772
LIFO,100,2,2,0,16356.102496
PRIO,100,2,2,0,16380.704377999999
LIFO,100,1,2,0,16398.831825999998
PRIO,100,2,1,100,16390.05042
FIFO,100,3,1,100,16424.923046
LIFO,100,1,1,100,16434.149951
LIFO,100,2,2,0,15903.248927999999
FIFO,100,2,2,0,15908.961942999998
FIFO,100,3,2,0,16529.533065
FIFO,100,1,2,0,15924.29712
PRIO,100,2,2,0,16509.570894
PRIO,100,2,3,0,16509.20855
LIFO,100,1,2,0,16512.177940999998
LIFO,100,2,4,0,15909.793475999999
FIFO,100,2,3,0,15915.856521
FIFO,100,2,4,0,15915.809082
LIFO,100,1,2,0,15921.836978
FIFO,100,1,4,0,15925.358439
PRIO,100,1,2,0,15928.848539999999
FIFO,100,1,3,0,15925.612766999999
LIFO,100,1,3,0,16525.257553
FIFO,100,1,1,100,15324.655686999999
LIFO,100,2,1,100,15340.3908
PRIO,100,1,1,100,15339.670205999999
PRIO,100,3,1,100,15361.865512999999
PRIO,100,1,1,100,17453.786193
LIFO,100,3,1,100,15370.997566999999
FIFO,100,1,1,100,17144.648676
LIFO,100,3,1,100,15386.614424
LIFO,100,3,3,0,15399.413767999999
LIFO,100,2,2,0,15452.926285
LIFO,100,3,2,0,15399.806643999998
FIFO,100,1,2,0,17216.143228
PRIO,100,3,2,0,15461.4306
FIFO,100,1,1,100,17200.354505
FIFO,100,1,1,100,16702.047741
LIFO,100,3,1,100,16125.904653
PRIO,100,1,1,100,17220.835873
PRIO,100,1,2,0,15607.505186999999
FIFO,100,1,2,0,15606.988401999999
FIFO,100,1,2,0,16817.352339999998
FIFO,100,1,3,0,15607.094876
FIFO,100,1,2,0,17316.723479
LIFO,100,3,2,0,15616.817561
PRIO,100,1,3,0,15616.639396999999
FIFO,100,1,4,0,17326.909584
FIFO,100,1,3,0,16832.96045
FIFO,100,1,3,0,17331.618182
PRIO,100,1,2,0,17341.103257
PRIO,100,1,3,0,17340.778604
PRIO,100,1,4,0,17340.798114999998
PRIO,100,1,1,100,16905.570108
FIFO,100,2,1,100,16855.835773
LIFO,100,3,1,100,17443.51974
FIFO,100,3,1,100,17450.422184
LIFO,100,3,2,0,16371.477798999998
LIFO,100,3,3,0,16371.399005
LIFO,100,2,1,100,16965.70474
FIFO,100,3,1,100,16404.420517
LIFO,100,3,1,100,16401.424189999998
FIFO,100,1,1,100,17063.470633
PRIO,100,1,2,0,17071.190068
FIFO,100,3,2,0,16507.99394
FIFO,100,1,2,0,17157.183613999998
FIFO,100,3,4,0,16507.839454999998
LIFO,100,3,2,0,16501.696820999998
FIFO,100,3,3,0,16513.681540999998
FIFO,100,2,2,0,17121.215965
LIFO,100,3,4,0,16514.381105
LIFO,100,3,3,0,16514.874405
LIFO,100,2,3,0,17123.991427
LIFO,100,2,2,0,17124.253312
FIFO,100,2,3,0,17129.949159
PRIO,100,3,1,100,17896.285275
PRIO,100,3,1,87,16801.554003999998
FIFO,100,3,1,100,16223.591988
PRIO,100,3,2,9,16870.604696
LIFO,100,1,1,100,16827.104187
FIFO,100,3,1,100,16901.763289
PRIO,100,1,1,100,16865.684123
FIFO,100,2,1,100,16297.038328999999
PRIO,100,3,1,100,16880.962531999998
PRIO,100,3,3,4,16922.752393
FIFO,100,3,2,0,16968.872908999998
FIFO,100,3,3,0,16974.811251
FIFO,100,2,2,0,16369.585905
FIFO,100,3,2,0,16369.293886
FIFO,100,3,1,100,18139.228371999998
FIFO,100,2,1,100,16378.970768
PRIO,100,2,1,100,16390.430211
PRIO,100,3,1,100,16383.333784999999
PRIO,100,3,1,100,18178.00891
PRIO,100,2,2,0,16497.118200999997
PRIO,100,3,3,0,17114.417781
FIFO,100,2,3,0,16496.611855
PRIO,100,3,2,0,17117.961313
PRIO,100,2,3,0,16502.941828
PRIO,100,3,4,0,17131.790719
FIFO,100,2,2,0,16514.930410999998
FIFO,100,2,1,100,17894.664644
PRIO,100,3,2,0,18390.975621999998
PRIO,100,3,3,0,16619.582431
FIFO,100,3,2,0,18402.030755
PRIO,100,3,2,0,16621.985994
FIFO,100,2,4,0,18045.026734
PRIO,100,1,1,100,18513.070545
FIFO,100,2,2,0,18045.766954
FIFO,100,2,3,0,18052.65311
PRIO,100,1,1,100,18593.534492
FIFO,100,1,1,100,17438.920629
PRIO,100,2,1,100,17431.108297
LIFO,100,2,1,100,18627.326035
PRIO,100,1,1,100,16829.230036
LIFO,100,3,1,100,16910.231728
FIFO,100,1,1,100,16830.913048
LIFO,100,1,1,100,16899.649333999998
LIFO,100,3,1,100,18633.622658
LIFO,100,1,1,100,18654.500923
FIFO,100,2,1,100,18644.404528
FIFO,100,1,3,0,16890.007429999998
PRIO,100,1,2,0,18725.919778
PRIO,100,1,4,0,16901.470214999998
PRIO,100,1,3,0,18693.351126999998
FIFO,100,1,4,0,16905.116413
LIFO,100,1,2,0,16974.666182999998
FIFO,100,1,2,0,16905.614711
FIFO,100,2,2,0,18710.522611
PRIO,100,1,3,0,16912.321266
LIFO,100,3,2,0,18708.291065999998
LIFO,100,1,2,0,18729.079795999998
PRIO,100,1,2,0,16915.78312
LIFO,100,2,1,100,16939.874337999998
PRIO,100,2,1,100,17001.947652
LIFO,100,1,1,100,18755.826786999998
FIFO,100,1,1,100,18756.872699
PRIO,100,1,2,0,18768.568829
LIFO,100,2,2,0,18792.649819
LIFO,100,1,1,100,17033.587871
LIFO,100,2,1,100,18758.989374
LIFO,100,3,1,100,18756.626514
LIFO,100,2,1,100,18322.129879
LIFO,100,3,2,0,18831.631798
LIFO,100,3,3,0,18828.741525999998
LIFO,100,2,3,0,18837.230429
LIFO,100,1,3,0,17111.924897
LIFO,100,1,2,0,17119.597433
PRIO,100,3,1,100,18853.466593999998
LIFO,100,2,2,0,17104.533725999998
LIFO,100,2,3,0,17104.453694
LIFO,100,1,2,0,18871.732536
LIFO,100,2,2,0,18854.66318
LIFO,100,1,3,0,18881.3755
LIFO,100,1,1,100,18506.05037
PRIO,100,2,1,100,18506.055502
LIFO,100,2,1,100,16413.971492
PRIO,100,2,2,0,17264.354688
FIFO,100,1,3,0,18986.860599
FIFO,100,1,2,0,18997.537823
LIFO,100,1,4,0,18586.333568
LIFO,100,2,3,0,16485.559437
PRIO,100,3,2,0,18992.988984
LIFO,100,1,2,0,18630.986441
FIFO,100,3,1,100,18627.169613
LIFO,100,3,1,100,18624.873776
LIFO,100,2,1,100,18637.511553
LIFO,100,2,4,0,18642.480067
LIFO,100,3,3,0,18632.999788999998
LIFO,100,3,4,0,18632.908099
PRIO,100,2,2,0,18653.223189
FIFO,100,3,3,0,18640.71272
LIFO,100,3,2,0,18634.134738999997
LIFO,100,1,3,0,18654.868623
LIFO,100,2,2,0,18644.389658
FIFO,100,3,2,0,18640.996798
LIFO,100,2,2,0,16552.785622
PRIO,100,1,1,100,18631.017873999997
FIFO,100,2,1,100,18619.40343
PRIO,100,2,3,0,18655.339953
PRIO,100,2,4,0,18655.171218
LIFO,100,2,4,0,16555.536943
PRIO,100,2,1,100,18621.124157
LIFO,100,2,3,0,18649.840777999998
FIFO,100,3,4,0,18646.781376
PRIO,100,3,3,0,19142.787089999998
FIFO,100,1,1,100,18726.528531
FIFO,100,3,1,100,17413.278731
FIFO,100,1,1,100,17496.477888999998
PRIO,100,2,1,100,19239.837448
FIFO,100,3,1,100,18741.238596
PRIO,100,3,1,100,18751.304909
PRIO,100,3,1,100,17527.968001999998
LIFO,100,1,1,100,18769.818726999998
LIFO,100,2,1,100,17537.360253
FIFO,100,3,1,100,17532.804380999998
PRIO,100,1,1,100,17522.277649
FIFO,100,1,2,0,17578.730574999998
PRIO,100,1,2,0,17590.751883
FIFO,100,3,2,0,17533.222295
FIFO,100,2,1,100,19354.469748
FIFO,100,3,1,100,19342.279875
PRIO,100,2,2,0,19369.286936
PRIO,100,2,1,100,19372.441555999998
PRIO,100,2,2,0,19414.364391
PRIO,100,2,3,0,19455.677875999998
FIFO,100,3,3,0,19441.689435
FIFO,100,2,2,0,19460.987737
FIFO,100,2,3,0,19460.924396
FIFO,100,3,2,0,19457.619783
FIFO,100,3,3,0,17712.772622
PRIO,100,3,1,100,19243.159458
LIFO,100,1,1,100,17886.155371999997
PRIO,100,3,3,0,19247.650465
PRIO,100,2,1,100,17890.013177999997
FIFO,100,3,1,100,17280.178343
LIFO,100,3,3,0,17283.809923
LIFO,100,3,4,0,17283.817648
LIFO,100,3,1,100,17284.373799
LIFO,100,3,1,100,19337.761469999998
PRIO,100,3,1,100,17330.508803
LIFO,100,1,4,0,18110.305808
LIFO,100,1,2,0,18113.876828
PRIO,100,2,2,0,18116.015358
PRIO,100,3,2,0,19486.350158999998
PRIO,100,3,4,0,19545.222739999997
PRIO,100,2,4,0,18275.337080999998
LIFO,100,1,3,0,18279.55578
PRIO,100,2,3,0,18275.858956
FIFO,100,3,2,0,17550.732995
PRIO,100,3,2,0,17558.233151
LIFO,100,3,2,0,17554.789128
FIFO,100,3,4,0,17557.131719
FIFO,100,3,3,0,17558.017364
PRIO,100,3,3,0,17575.509523
PRIO,100,3,4,0,17576.860866
FIFO,100,2,1,100,18624.956527
FIFO,100,2,3,0,18714.369361
FIFO,100,2,4,0,18806.550666
FIFO,100,2,2,0,18885.784964
FIFO,100,2,1,100,19223.390412
PRIO,200,1,2,64,22147.351321
PRIO,200,1,1,136,22741.426674
PRIO,200,2,1,141,22916.018032
PRIO,200,2,2,59,23285.473717
PRIO,200,2,3,33,28011.167321999998
LIFO,200,3,1,106,24915.959686
LIFO,200,3,2,94,25537.143248
PRIO,200,2,2,28,28139.429431999997
PRIO,200,2,1,139,28169.876366
PRIO,200,3,1,136,25034.870302
PRIO,200,3,3,31,25083.642171
PRIO,200,3,1,142,23883.249807
PRIO,200,3,2,33,25238.042471
PRIO,200,3,2,58,24137.030385
FIFO,200,3,1,135,24276.375042
FIFO,200,3,2,65,24428.953226999998
PRIO,200,2,1,140,26001.224491999998
PRIO,200,2,2,28,26038.978993999997
PRIO,200,2,3,32,26193.927282
PRIO,200,1,1,149,26247.734656
PRIO,200,1,2,22,26258.604339999998
LIFO,200,2,1,179,30204.386243999998
LIFO,200,2,2,21,30253.075136
PRIO,200,3,1,155,27862.540654999997
FIFO,200,2,2,24,30448.9964
PRIO,200,1,3,29,26527.007197
LIFO,200,3,1,138,29096.160595999998
PRIO,200,3,2,45,28142.188565
PRIO,200,1,1,136,28210.326181999997
PRIO,200,2,2,23,30544.708661999997
LIFO,200,3,3,23,29171.726364
PRIO,200,1,2,64,28253.795722
FIFO,200,2,1,176,30627.13943
PRIO,200,2,1,177,30639.493731
PRIO,200,3,1,143,26634.189392
LIFO,200,1,1,137,28337.197712999998
LIFO,200,1,2,63,28387.278831
LIFO,200,3,2,21,29400.208360999997
LIFO,200,3,2,22,30766.732808999997
LIFO,200,3,1,178,30826.191718
LIFO,200,3,2,64,25687.762261
LIFO,200,3,4,18,29479.062769
PRIO,200,3,2,12,26932.691936
PRIO,200,3,3,23,26932.533796
PRIO,200,3,4,22,26932.319582
LIFO,200,3,1,136,25824.753553
LIFO,200,3,2,32,30287.494053
LIFO,200,1,2,20,31117.27652
PRIO,200,3,2,23,31114.791976999997
PRIO,200,1,1,179,31476.243596
FIFO,200,3,1,137,29052.348512
FIFO,200,3,2,63,28901.648857
PRIO,200,2,1,134,28920.313518
LIFO,200,1,1,180,31486.678638999998
LIFO,200,3,1,135,30719.405167999998
LIFO,200,3,3,33,30719.154429
PRIO,200,3,1,177,31593.594288
LIFO,200,2,1,142,27676.793059
PRIO,200,2,2,66,29263.84218
LIFO,200,2,2,31,27780.343993
PRIO,200,1,3,9,31712.242019999998
PRIO,200,1,2,14,31712.985437
PRIO,200,1,2,21,31775.799202
LIFO,200,1,1,138,26709.382526999998
FIFO,200,3,1,178,31875.368123
PRIO,200,3,2,31,31179.581693
PRIO,200,3,1,140,31181.132870999998
PRIO,200,1,1,177,32007.055737
LIFO,200,1,2,62,26914.983942
PRIO,200,3,3,29,31445.71039
FIFO,200,3,2,22,32188.988738
LIFO,200,2,3,27,28392.730584999998
LIFO,200,2,1,140,31636.997506
LIFO,200,2,3,29,31743.060685999997
PRIO,200,2,2,52,26721.392707
LIFO,200,2,2,31,31937.880116999997
PRIO,200,2,3,31,26839.041031999997
PRIO,200,2,1,117,26894.430312999997
PRIO,200,1,4,23,32457.927055
PRIO,200,1,3,21,32458.10028
LIFO,200,2,3,21,32468.280829
FIFO,200,1,1,174,32909.583942
PRIO,200,3,1,200,33299.804468999995
LIFO,200,1,1,200,34001.943212
FIFO,200,1,3,14,32526.750147
LIFO,200,2,4,24,32493.790696
PRIO,200,1,2,22,32603.732638999998
FIFO,200,1,3,18,32611.151033
FIFO,200,2,1,138,32792.390326
FIFO,200,1,4,22,32772.009645
FIFO,200,1,1,139,32913.414210999996
FIFO,200,1,2,21,32915.957947999996
FIFO,200,2,3,29,32940.691025
FIFO,200,2,2,33,32943.888859
FIFO,200,1,2,22,33721.294426
FIFO,200,1,1,178,33723.150824
FIFO,200,3,2,27,32956.847504
FIFO,200,3,3,32,32956.812404
FIFO,200,1,2,12,31915.099931999997
PRIO,200,1,1,134,32947.775813
FIFO,200,3,1,141,32958.082211
LIFO,200,2,1,138,32930.094085
PRIO,200,2,3,19,33058.023058
PRIO,200,2,1,137,29917.142045999997
PRIO,200,2,1,200,34636.984202
PRIO,200,2,1,136,33128.642931
LIFO,200,2,2,17,33120.020033
PRIO,200,2,3,25,29979.159488999998
PRIO,200,2,4,24,33204.058678
PRIO,200,2,2,21,33280.097783
LIFO,200,2,1,200,34781.922908
PRIO,200,3,1,133,33271.31987
PRIO,200,2,2,16,30126.277037
PRIO,200,2,4,22,30131.005993
FIFO,200,1,1,200,34949.101299999995
PRIO,200,3,2,24,33422.761189
PRIO,200,1,2,50,28407.349602
PRIO,200,3,4,20,33575.245299
PRIO,200,3,3,23,33575.548287
LIFO,200,3,1,200,34392.134287
PRIO,200,1,3,34,28557.641263999998
FIFO,200,1,2,61,32123.415817999998
PRIO,200,1,1,116,28558.104892
LIFO,200,1,1,139,33737.826936
LIFO,200,1,2,29,33765.317526
LIFO,200,2,1,180,32129.749633
LIFO,200,2,1,173,29357.415939
FIFO,200,3,3,15,33164.44542
FIFO,200,1,1,139,32205.925918999998
FIFO,200,3,1,140,33201.962485
FIFO,200,2,1,141,32246.553932
FIFO,200,3,4,23,33388.978509
FIFO,200,2,2,59,32398.252139999997
LIFO,200,2,2,27,29687.303116
FIFO,200,3,2,22,33464.557014
LIFO,200,1,3,32,34101.462669
LIFO,200,2,2,20,32453.626539999997
FIFO,200,3,1,200,35027.364213
PRIO,200,1,1,200,35892.61066
LIFO,200,3,1,172,31181.889602
LIFO,200,3,3,14,31292.290301999998
FIFO,200,2,1,200,36035.192895
LIFO,200,3,2,14,31402.547999
PRIO,200,1,1,134,31566.235658999998
PRIO,200,1,4,26,31674.150031999998
PRIO,200,1,2,17,31776.734419999997
PRIO,200,1,3,23,31776.627646999998
LIFO,200,1,2,32,32042.754772
LIFO,200,1,1,135,32271.929056999998
LIFO,200,1,3,33,32344.814704999997
PRIO,200,2,1,117,30031.151788
FIFO,200,3,1,200,35116.519538
FIFO,200,1,1,200,35170.435864
LIFO,200,1,4,23,35808.635425
PRIO,200,1,1,200,32587.527168999997
PRIO,200,2,2,47,30147.342816
FIFO,200,2,2,24,35882.259494
FIFO,200,2,3,24,35883.860138
FIFO,200,1,1,200,32670.051967
LIFO,200,1,2,26,35959.615884
LIFO,200,3,1,200,34409.839491
LIFO,200,1,1,135,35989.245478
PRIO,200,2,4,20,30273.561947
LIFO,200,1,3,16,35989.288330999996
FIFO,200,1,1,138,31695.704297
FIFO,200,1,2,62,31700.049969
PRIO,200,2,3,16,30403.616966999998
FIFO,200,2,1,137,36153.615069
FIFO,200,2,4,15,36183.404383
LIFO,200,2,1,200,35568.444989999996
LIFO,200,2,1,137,33029.675535
LIFO,200,1,1,200,35634.011331
PRIO,200,1,1,200,35760.514465
LIFO,200,2,3,16,33173.046331
LIFO,200,2,2,27,33173.210672
LIFO,200,3,1,193,33177.619993
LIFO,200,3,2,1,33177.614370999996
LIFO,200,1,3,20,33283.05291
LIFO,200,1,4,18,33282.875026
LIFO,200,1,2,30,33287.691112
FIFO,200,3,1,133,30840.299187999997
FIFO,200,3,2,31,30841.591809999998
LIFO,200,2,4,20,33323.157682
FIFO,200,2,1,200,35927.068863
LIFO,200,3,4,4,33373.065334
LIFO,200,3,3,2,33373.304842
LIFO,200,2,1,200,33370.005171
LIFO,200,1,1,132,33436.58852
FIFO,200,3,3,36,30991.817132999997
FIFO,200,2,1,200,33556.710225999996
LIFO,200,1,1,200,33578.786323
PRIO,200,2,1,200,36560.677040999995
FIFO,200,1,3,35,32079.842118999997
LIFO,200,3,2,57,31529.743949
LIFO,200,3,3,29,31529.709202
PRIO,200,3,1,200,36680.726822
LIFO,200,1,1,111,32182.770187
FIFO,200,2,2,36,32210.98128
FIFO,200,1,1,134,32231.482523
FIFO,200,1,2,31,32241.013340999998
LIFO,200,3,1,114,31691.427894999997
FIFO,200,2,2,33,34255.612552
PRIO,200,2,1,200,34179.299141999996
FIFO,200,2,1,139,34260.383625999995
LIFO,200,1,2,50,32335.882696999997
FIFO,200,2,3,32,32355.931088999998
LIFO,200,1,3,39,32481.753338
FIFO,200,1,2,19,34448.684841999995
LIFO,200,3,1,200,33359.20591
FIFO,200,2,3,28,34565.838436
FIFO,200,2,1,132,32597.882829
FIFO,200,1,1,140,34602.487385
FIFO,200,1,4,16,34606.645551
FIFO,200,1,3,25,34610.440124
FIFO,200,2,2,25,32169.508341999997
PRIO,200,3,1,200,34693.891684
FIFO,200,2,4,19,32416.145164999998
FIFO,200,1,3,20,32473.661174999997
FIFO,200,2,3,21,32463.988529
FIFO,200,2,1,135,32470.15776
FIFO,200,2,3,19,35004.27831
FIFO,200,1,2,31,32527.263892
FIFO,200,2,2,17,35090.433668
FIFO,200,3,1,200,34050.048706
FIFO,200,1,1,129,32682.180271999998
FIFO,200,1,4,20,32681.582050999998
LIFO,200,3,1,107,32691.710776
FIFO,200,1,1,140,35240.41023
LIFO,200,3,4,25,32726.697419
LIFO,200,3,2,39,32726.906707
FIFO,200,2,1,139,35239.221106
FIFO,200,2,4,25,35238.675485
FIFO,200,1,2,30,35393.541554999996
FIFO,200,1,3,30,35512.728749
LIFO,200,3,3,29,33023.938889
FIFO,200,2,1,136,35071.623112
FIFO,200,2,2,64,35073.651307
LIFO,200,2,2,41,33859.012374
FIFO,200,3,1,139,36387.06805
LIFO,200,2,3,20,33999.458631
LIFO,200,2,4,31,34009.173072
FIFO,200,3,2,33,36535.864344
FIFO,200,3,3,28,36547.394324
LIFO,200,2,1,108,34066.608266999996
LIFO,200,2,2,48,34629.971949
LIFO,200,2,3,37,34630.210409
LIFO,200,2,1,115,34923.880133
FIFO,200,3,4,25,37193.218351999996
FIFO,200,3,1,139,37193.891418
PRIO,200,3,3,27,34791.993382
PRIO,200,3,2,36,34792.315659
PRIO,200,3,4,26,34792.023334
FIFO,200,3,3,19,37351.545748
PRIO,200,3,1,111,34954.383239999996
FIFO,200,3,2,17,37494.128338999995
FIFO,200,3,2,24,36212.185763
PRIO,200,1,2,36,36261.644105
PRIO,200,1,4,19,36264.535072
PRIO,200,1,1,116,36271.626834999995
FIFO,200,3,1,132,36355.486086
PRIO,200,1,3,29,36414.816402
FIFO,200,3,3,26,36511.610022
FIFO,200,3,4,18,36511.666146999996
PRIO,200,3,1,163,39948.20702
PRIO,200,3,2,36,40006.106829
PRIO,200,3,3,1,40208.621474
LIFO,200,1,2,34,41507.136501
LIFO,200,1,4,1,41618.467810999995
LIFO,200,1,1,165,41676.000583
LIFO,200,1,3,0,41749.980319999995
